Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	1096.10289	202.52804	64.36099	27.96204	0.33581	0.46572	0.73551	5.59623	7.0	7.91137	4.0636	65.03448	10.7921	14.3789	1064.0	208.32187	1490.26219	152.54468	0.7532	0.59193	8.0	510.23795	7.28264	4.19917	3.08348	13.88778	29.45716
2	309.05451	80.22547	27.68636	15.56365	0.60342	0.27014	0.87231	5.24121	3.0	11.70813	1.87551	30.5743	6.87687	10.25355	1009.0	230.37144	354.29391	73.16162	0.91195	0.72557	5.0	148.02958	4.69905	2.59884	2.10021	9.9803	19.56991
3	914.55902	167.27799	57.37703	25.30571	0.41072	0.4547	0.74731	5.59837	6.0	11.33758	3.12585	56.17484	10.31056	16.25441	1006.0	224.96	1223.80894	139.42093	0.83347	0.59124	9.0	554.8911	4.83948	2.55216	2.28732	11.78436	22.4654
4	1150.62468	215.74546	59.41589	34.0283	0.31064	0.25606	0.66535	5.43521	8.0	10.35303	3.28214	68.73186	13.52449	15.00407	908.0	192.87561	1729.35684	159.59202	0.73972	0.5677	11.0	741.22273	4.46768	2.55404	1.91364	13.00677	25.32013
5	1133.42784	198.30354	56.5716	37.49724	0.3622	0.15173	0.71314	5.30475	7.0	11.19657	3.61705	73.78146	10.62789	15.00407	1139.0	168.28547	1589.33942	152.08572	0.76693	0.61578	11.0	800.04372	3.98004	2.35484	1.6252	11.45093	22.37183
6	1219.2166	214.57097	53.44312	41.80226	0.33277	0.058	0.71356	5.98757	7.0	8.76879	2.72395	71.20113	10.62789	15.22388	951.0	220.82799	1708.64247	157.08124	0.73207	0.62093	13.0	873.03257	3.56334	1.83955	1.7238	10.50502	18.18814
7	1304.02827	253.25026	70.45367	36.87158	0.2555	0.32489	0.66584	6.15616	10.0	8.09525	2.65697	80.13661	10.47975	12.07403	1089.0	208.06489	1958.48514	178.52738	0.70494	0.51415	12.0	780.30644	5.37426	2.93107	2.44319	12.25789	20.90064
8	1223.02727	207.08734	63.41078	32.47232	0.35838	0.34162	0.74484	5.2056	7.0	9.61964	3.39378	73.41525	10.6829	18.30157	987.0	218.16737	1642.00473	153.80614	0.74271	0.64968	11.0	880.55618	4.12525	2.23965	1.88561	12.3655	22.248
9	853.49071	150.11342	44.06244	30.16714	0.47596	0.13084	0.7946	5.53003	5.0	10.60351	3.56347	43.96181	11.32231	16.83321	1121.0	178.14881	1074.1183	124.6359	0.83028	0.69043	8.0	534.46985	5.05722	2.46477	2.59245	12.27209	20.56942
10	496.26552	101.35557	32.83821	22.43691	0.60706	0.13211	0.8629	4.17439	3.0	15.06331	2.39648	34.20504	8.70761	14.04894	1073.0	181.09942	575.11692	92.06278	0.90831	0.73579	8.0	359.76563	2.75482	1.92252	0.8323	9.13643	18.94685
