Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
1	2690.5232	347.43859	89.42098	48.88042	0.28009	0.29146	0.70365	4.91448	8.0	10.02081	4.49341	132.56424	13.24711	22.59277	978.0	220.89817	3823.65791	255.02729	0.73402	0.51984	15.0	1901.61833	5.35703	2.78258	2.57776	14.15152	25.74904
2	1280.96888	198.79543	60.17189	33.14285	0.40732	0.28566	0.75202	4.29953	6.0	15.22611	3.38634	70.71845	13.12856	20.7816	1061.0	219.52904	1703.36617	160.96367	0.8097	0.62129	9.0	837.95493	5.3493	3.13094	2.21836	15.01259	29.20654
3	1474.33558	195.56231	57.72373	36.8634	0.48444	0.17692	0.79525	5.59899	5.0	18.24912	3.25088	65.45813	22.44525	23.78933	1043.0	208.87556	1853.9362	164.06407	0.83893	0.6883	14.0	1187.46108	3.28243	1.8132	1.46923	10.27084	17.87412
4	1385.2247	209.32906	80.77916	25.08337	0.39726	0.67917	0.75866	4.40608	4.0	9.15517	3.28214	87.42793	13.12856	18.38679	893.0	199.1055	1825.89363	179.18333	0.85599	0.54217	9.0	831.01757	6.00719	3.30109	2.7061	16.19269	28.8594
5	2440.97365	310.58276	108.92716	34.84522	0.31799	0.66314	0.73179	5.06462	10.0	12.07435	2.96956	126.97452	16.30243	19.94674	1115.0	178.84071	3335.59997	241.9466	0.77901	0.524	18.0	1909.53279	3.82067	2.06278	1.75789	12.2818	21.21349
6	3881.89265	478.66364	99.82663	76.91321	0.21291	0.06503	0.63951	4.75614	14.0	9.47456	4.01895	151.90388	16.25441	19.8682	1078.0	207.30895	6070.09235	296.01293	0.61842	0.55671	26.0	2958.34438	3.53553	1.91766	1.61787	12.5004	23.29914
7	611.17165	125.58011	41.75159	21.61976	0.487	0.33306	0.83937	4.60559	3.0	21.27746	0.93775	50.15068	7.31742	14.04894	1158.0	126.2141	728.12968	111.11553	0.88482	0.62205	8.0	404.41878	3.62794	2.11209	1.51585	10.63604	19.0476
8	816.26347	127.13922	36.82012	30.74437	0.63457	0.03183	0.86876	3.93106	5.0	15.18134	1.12531	50.31157	15.62924	18.22667	1033.0	198.4641	939.5726	113.74926	0.89468	0.79276	8.0	580.58864	3.70875	1.90822	1.80052	11.4206	22.13535
9	3533.16817	410.86033	102.07147	65.16309	0.26302	0.17715	0.64859	4.73465	10.0	14.79514	3.96983	137.06609	15.32622	25.17036	1182.0	130.97328	5447.48871	279.1279	0.67937	0.56986	17.0	2659.94019	5.49911	2.97622	2.52289	14.97776	25.09213
10	400.02186	84.20402	26.17141	20.70672	0.70897	0.05291	0.92124	5.10126	3.0	10.97136	2.91746	24.59075	7.50204	15.26234	904.0	221.14701	434.22011	77.55178	0.921	0.83581	6.0	255.11897	3.49188	1.84658	1.6453	10.02825	20.26446
