Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	1126.19735	174.74861	56.49694	31.22684	0.46344	0.28301	0.7888	5.01879	5.0	10.94199	4.0636	55.85305	999.0	227.27736	12.0	1.74572	1.4955	0.90309	1427.72824	144.65772	0.8278	0.6763
2	2884.76928	341.8749	99.23459	53.43726	0.31016	0.30296	0.67803	4.68529	8.0	13.33532	3.24307	125.14344	933.0	210.88623	14.0	3.06939	2.17854	0.85873	4254.65362	255.73442	0.74804	0.5543
3	1592.66154	223.39919	68.39527	34.97796	0.40102	0.34265	0.78566	5.15599	8.0	9.80255	4.53248	70.62039	1038.0	225.43513	10.0	3.31354	2.23388	0.81755	2027.17478	175.43899	0.78532	0.65025
4	2083.94388	264.61057	93.52598	33.92967	0.37401	0.58889	0.75543	4.71455	6.0	16.02238	3.23004	95.91215	1110.0	196.30079	15.0	2.06757	1.73768	0.91743	2758.62658	218.29688	0.82497	0.54954
5	1444.63195	198.41081	72.0808	27.71571	0.46114	0.55115	0.85118	4.6019	5.0	15.67183	4.43871	80.31972	1051.0	209.08132	9.0	2.88708	2.05419	0.85418	1697.21048	173.15444	0.87271	0.60548
6	535.93549	98.12246	29.84357	24.81205	0.6995	0.03333	0.90348	4.81415	4.0	11.83665	2.96956	28.92251	991.0	212.88025	8.0	1.68018	0.9125	0.86418	593.19314	90.71634	0.92452	0.81837
7	3583.39075	437.1749	93.89376	74.20632	0.23561	0.05339	0.66519	4.82519	10.0	13.94801	4.81381	134.41754	1035.0	220.00455	19.0	2.66342	2.69686	0.88995	5387.00666	283.45037	0.64837	0.56047
8	408.52257	84.14119	28.25184	19.16027	0.72512	0.13683	0.9187	4.50332	3.0	6.54334	4.58458	23.79168	1066.0	180.35243	5.0	2.41283	1.32549	0.79168	444.67501	78.15279	0.92883	0.8405
9	1641.80931	231.78535	84.24549	30.16154	0.38403	0.59717	0.76534	5.44014	6.0	12.39063	3.17795	85.94086	1084.0	202.59072	14.0	2.1509	1.41492	0.89669	2145.20761	191.59093	0.82659	0.56206
10	904.10412	143.24957	45.73876	26.84594	0.55366	0.2377	0.8642	6.5252	6.0	9.31101	3.12585	49.40523	1164.0	148.05404	10.0	1.8757	1.26841	0.89765	1046.17344	123.24344	0.86034	0.748
11	948.36643	131.8188	41.2334	30.56715	0.68585	0.0845	0.90297	4.47433	3.0	16.96104	4.79297	48.87812	947.0	221.97748	9.0	1.77652	0.93154	0.89316	1050.27723	119.19626	0.90424	0.8388
12	2239.00854	276.85501	72.96627	47.54404	0.36708	0.16316	0.7549	5.1914	9.0	11.16988	3.99414	88.85757	1193.0	112.19626	14.0	2.60584	2.11216	0.88785	2965.9657	206.41437	0.74557	0.66037
13	1866.63841	251.00853	72.33649	39.74542	0.3723	0.28753	0.76896	5.5559	8.0	13.32976	3.08678	82.15461	1106.0	189.5943	12.0	2.99325	2.30332	0.85527	2427.48977	189.80927	0.75619	0.65108
14	3967.48599	488.09863	111.00241	67.19495	0.20927	0.21497	0.66522	5.21466	15.0	9.7057	3.91773	143.88394	1060.0	214.80922	22.0	2.57047	3.09116	0.89757	5964.17547	294.27825	0.60291	0.57572
15	1047.24824	165.9702	54.46122	28.33264	0.47775	0.32948	0.80836	5.61236	7.0	10.86866	2.58999	57.17003	997.0	219.652	11.0	1.88533	1.22694	0.90343	1295.52757	139.64479	0.84138	0.67485
16	401.19437	98.30557	37.06408	15.95431	0.52169	0.47245	0.82716	5.18261	4.0	8.7834	3.75102	33.80741	979.0	194.87945	8.0	1.89897	0.86943	0.81442	485.02895	88.58285	0.9011	0.64249
17	3405.07128	400.92044	88.63435	69.21327	0.26621	0.05876	0.69168	5.12892	12.0	11.21595	3.95941	110.98287	1174.0	152.57129	18.0	2.46054	2.88471	0.91308	4922.8875	259.55462	0.6474	0.63515
18	676.14833	126.52707	48.29979	20.13438	0.53074	0.49548	0.85909	4.46189	0.0	NaN	1.40663	52.96394	1150.0	129.15882	8.0	2.37578	0.80898	0.77688	787.04839	114.32202	0.90354	0.65012
