Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	1568.72276	204.18903	52.63202	42.80225	0.47282	0.04155	0.77854	4.90121	7.0	19.0704	1.7862	71.24556	924.0	225.82737	11.0	2.02269	2.00797	0.93379	2014.96112	168.7817	0.8266	0.692
2	4119.81479	419.99193	123.99211	51.74375	0.2935	0.49471	0.76181	5.4281	13.0	16.42979	3.99147	142.28579	1035.0	220.29072	18.0	3.43652	2.54317	0.88777	5407.91645	296.75253	0.70657	0.58789
3	5139.80214	539.34414	119.92618	75.60054	0.22204	0.18596	0.67176	4.64362	13.0	15.16236	3.96742	155.8342	1158.0	165.94577	26.0	2.06483	2.45096	0.93208	7651.22419	330.22187	0.61227	0.5923
4	5231.35575	619.07773	133.1589	80.80721	0.17153	0.21317	0.58398	4.65003	15.0	10.42633	3.37592	181.97486	1038.0	226.89425	28.0	2.08569	2.56874	0.92451	8958.18374	365.48244	0.59037	0.49214
5	1355.13024	189.39185	56.80366	34.8624	0.47475	0.20501	0.79283	5.07405	8.0	12.74577	2.85234	57.78219	1180.0	111.57509	9.0	3.08079	2.20151	0.8545	1709.22873	157.55438	0.8319	0.68601
6	4369.26662	537.64635	133.08966	57.86226	0.18994	0.46521	0.62869	5.29951	15.0	12.11848	3.16753	155.51241	1034.0	221.25551	26.0	2.19522	2.85996	0.91095	6949.76915	328.34978	0.61072	0.50927
7	697.25354	113.67586	43.96113	20.59525	0.67805	0.40965	0.96185	2.83857	0.0	NaN	4.2199	36.83519	1163.0	149.09393	7.0	2.44095	0.49258	0.78209	724.90527	106.83048	0.93978	0.76773
8	779.52477	151.57829	50.17306	25.09023	0.42635	0.35989	0.76484	5.57237	7.0	9.03146	2.18809	56.71496	939.0	227.47967	10.0	2.4335	1.20603	0.81925	1019.20567	127.37538	0.84033	0.60377
9	2355.47802	303.66147	110.45968	33.66201	0.321	0.68897	0.73652	4.45333	8.0	10.33894	3.32121	123.46024	1195.0	110.42645	16.0	2.49526	1.77111	0.87941	3198.12299	249.76908	0.82252	0.47447
10	1169.18944	199.33174	63.74497	29.77761	0.36978	0.41184	0.7091	4.61602	6.0	15.93633	2.96956	73.63516	1162.0	135.05554	9.0	3.27361	2.21087	0.81113	1648.84438	161.84708	0.81195	0.5609
11	269.48224	81.15402	24.99117	17.25131	0.51419	0.1257	0.81598	5.36596	3.0	13.65821	1.14614	29.15925	1107.0	154.06168	6.0	2.05929	0.79795	0.83865	330.25742	73.32401	0.90352	0.62987
12	2519.04338	310.98802	105.29872	37.36943	0.32731	0.60262	0.66872	4.71678	8.0	15.56344	1.79736	125.16565	1208.0	66.2948	18.0	1.66598	1.94827	0.93806	3766.98652	252.65454	0.81243	0.4959
13	875.27988	140.99483	38.40487	32.79676	0.55329	0.02451	0.8333	4.99587	5.0	8.19125	3.56347	53.62434	1051.0	212.09903	7.0	2.78209	1.79666	0.87386	1050.37494	123.78967	0.87797	0.71777
14	1423.62445	213.72365	61.47084	38.9618	0.39165	0.18216	0.74749	4.72197	5.0	18.92868	2.00054	85.72633	1136.0	168.50816	12.0	2.33491	1.63679	0.86342	1904.54961	176.1612	0.82425	0.57648
15	3096.11449	362.13928	111.4042	43.56456	0.29667	0.53982	0.72269	4.90631	9.0	16.77691	2.848	127.74218	1090.0	202.18803	18.0	2.69241	1.99612	0.88402	4284.16183	259.61708	0.7169	0.57725
16	4308.00289	531.3242	132.20694	56.11359	0.19176	0.48261	0.64836	5.66755	14.0	17.76101	2.45602	169.37341	1007.0	221.37751	26.0	2.44073	2.57182	0.9083	6644.4276	331.09039	0.62314	0.49385
17	1675.12818	245.81105	80.01741	33.94524	0.34838	0.48298	0.72715	5.03268	6.0	14.99397	4.32409	81.70335	1003.0	221.43396	12.0	2.7823	2.12373	0.85103	2303.69209	187.69264	0.76356	0.59754
18	1163.71772	186.9172	57.35757	30.78169	0.41856	0.30557	0.76068	6.20566	8.0	11.57588	1.48478	63.18118	938.0	239.85204	12.0	1.96369	1.71707	0.90966	1529.83446	152.03822	0.8134	0.63263
19	928.33603	161.60703	53.05502	26.2678	0.44668	0.36755	0.80042	4.86727	5.0	13.22739	2.50068	61.73853	960.0	217.29703	8.0	2.37269	2.06813	0.85181	1159.80935	138.44742	0.85669	0.60862
20	484.14957	97.36401	36.0846	18.74017	0.64179	0.33081	0.91454	3.43784	0.0	NaN	3.75102	32.12421	1008.0	224.05803	7.0	1.84606	1.30849	0.81937	529.38897	91.14253	0.9361	0.7324
21	288.34013	71.94657	24.95376	15.72842	0.69999	0.18606	0.92886	3.77561	0.0	NaN	3.12585	22.06786	989.0	218.69156	4.0	3.77636	1.31067	0.60014	310.42244	67.59489	0.93952	0.79303
