Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	3179.16739	404.71905	198.57631	22.43571	0.2439	0.95022	0.79611	1.51005	0.0	NaN	1.87551	190.15189	1190.0	139.58868	23.0	0.92937	0.50907	0.89867	3993.37896	380.7754	0.94084	0.27554
2	2918.57669	344.1274	152.5048	28.65416	0.3097	0.86826	0.76492	2.12936	4.0	35.58946	3.51658	144.88992	1025.0	213.27213	20.0	1.10968	0.92355	0.92715	3815.54804	309.90063	0.90054	0.38189
3	5538.7492	475.88337	203.72375	41.40039	0.30734	0.84765	0.72906	2.41559	5.0	26.69228	4.0636	216.10406	1137.0	183.01639	24.0	1.36456	1.24945	0.9551	7597.09324	429.39602	0.90231	0.37749
4	790.07737	131.49701	50.17508	22.79993	0.57418	0.43258	0.85008	2.4981	4.0	6.70027	4.2199	52.03539	935.0	220.2544	7.0	2.21449	0.65488	0.87373	929.41083	122.80619	0.93391	0.65832
5	989.50205	129.14802	45.74163	28.32277	0.74551	0.19866	0.96604	2.31352	3.0	19.09243	3.02165	39.27304	1054.0	207.89661	6.0	3.39165	0.68188	0.7562	1024.28656	121.5693	0.94132	0.84135
6	4062.65485	378.95603	148.31319	41.47844	0.3555	0.73089	0.73726	2.60948	3.0	56.60643	4.58458	148.09542	982.0	207.06521	23.0	1.09719	1.15682	0.95522	5510.51121	333.24974	0.87939	0.45971
7	2900.01193	240.72084	90.81405	42.03711	0.6289	0.41871	0.92117	2.62212	6.0	9.90566	8.90867	80.05156	1048.0	217.18656	13.0	2.07162	0.94425	0.9091	3148.19354	222.19637	0.92305	0.73813
8	4254.36049	344.51426	125.24314	48.30046	0.45043	0.54916	0.82724	3.07734	6.0	5.42988	7.60623	137.89659	1013.0	211.37644	18.0	1.47443	1.46661	0.94924	5142.83113	297.59393	0.86381	0.60367
9	3915.60236	332.7617	140.38239	39.89354	0.44437	0.72344	0.82601	2.79833	4.0	26.01405	3.90731	133.10436	1082.0	212.49235	22.0	1.09267	0.75541	0.96055	4740.36653	302.73096	0.90975	0.5369
10	1976.9522	210.84598	78.24121	36.44996	0.55882	0.41389	0.8312	2.53167	3.0	32.19265	4.48038	77.18467	1087.0	199.33891	10.0	2.08401	1.41228	0.91114	2378.4397	192.03715	0.91079	0.67365
11	2456.99798	248.86106	94.73339	37.32352	0.49854	0.53475	0.85033	2.66882	4.0	31.10045	5.15765	101.32035	1094.0	190.69347	12.0	2.02771	1.0063	0.92027	2889.45932	227.4598	0.914	0.59677
12	324.10174	109.66589	45.72499	11.07227	0.33865	0.79072	0.76907	2.94696	0.0	NaN	2.50068	44.43529	973.0	234.49733	5.0	3.5502	1.94225	0.51613	421.4202	102.68469	0.93634	0.38626
13	3980.1882	351.20263	141.92812	45.55621	0.40551	0.66128	0.75103	2.80661	4.0	20.1914	3.90731	144.19652	955.0	213.28385	19.0	1.46165	1.02348	0.94378	5299.65455	308.26588	0.87774	0.52634
14	2150.87475	194.61536	69.31481	40.37343	0.71363	0.2434	0.94036	2.52107	5.0	18.15442	5.25143	62.53761	1105.0	189.00794	11.0	1.95612	0.77433	0.92155	2287.27693	182.32277	0.93684	0.8131
15	676.14833	103.36437	38.63059	22.37908	0.79526	0.24746	1.0	1.65796	0.0	NaN	8.2835	20.99143	900.0	189.77882	5.0	3.90956	0.73002	0.35491	674.09644	98.11185	0.94918	0.88269
16	727.83655	136.37809	32.95901	31.28609	0.49176	0.00271	0.80391	5.30967	5.0	16.8693	2.37564	41.49255	950.0	248.90159	8.0	2.23394	1.38637	0.88374	905.37434	113.33974	0.83107	0.712
17	387.8082	79.85925	30.21009	16.55551	0.76415	0.28954	0.98511	2.62569	0.0	NaN	4.53248	22.09007	1022.0	219.57231	3.0	6.89021	2.46142	0.35954	393.67076	75.89155	0.95032	0.84614
