Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgLobeRadius_(microns)	LongestPathLength_(microns)	AvgConcavity	StdDevConcavity	LobeCount	AvgLobeDepth_(microns)	AvgNeckDepth_(microns)	NonLobeAreaRatio	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness
1	426.30566	87.67769	25.71699	22.46312	0.69687	0.01808	0.91276	4.46157	4.0	11.03948	1.79736	29.87328	920.0	221.9527	4.0	3.62859	2.24339	0.5581	467.05044	79.56508	0.90747	0.84623
2	487.27626	104.74038	34.60291	19.69265	0.55816	0.26083	0.86565	4.71354	3.0	16.68854	1.45873	38.33529	773.0	128.46011	8.0	1.73831	1.10527	0.85823	562.90326	92.59862	0.88408	0.71413
3	5778.23468	412.3382	150.96613	56.20179	0.42707	0.57237	0.78544	3.92302	9.0	20.37793	7.08526	163.06808	1097.0	207.26553	24.0	1.44349	1.34977	0.95556	7356.72837	354.39239	0.85947	0.57814
4	1450.98306	166.76008	56.40841	34.2117	0.65567	0.21359	0.89474	4.30062	5.0	12.7798	5.37646	51.13286	1061.0	206.2353	10.0	2.03272	1.20549	0.90465	1621.6812	150.28729	0.90122	0.80729
5	1981.93538	199.52247	64.98583	41.69806	0.62563	0.17365	0.87783	3.53016	4.0	21.31226	4.45433	70.01743	1111.0	190.28137	13.0	1.7326	0.95248	0.92442	2257.76872	180.74643	0.9059	0.76236
6	3709.0449	346.96512	120.68608	41.88762	0.38717	0.61619	0.83572	4.46047	7.0	17.68029	3.70636	139.55376	998.0	224.98222	18.0	1.98311	1.86566	0.93609	4438.15168	295.48844	0.85164	0.53382
7	1014.71105	140.68606	48.23183	28.48561	0.64424	0.23309	0.87733	3.41865	3.0	18.21878	3.95941	46.38665	1035.0	194.65611	10.0	1.50938	0.63764	0.92268	1156.58495	128.99185	0.91688	0.76635
8	3920.87866	314.00122	88.33036	63.42443	0.49972	0.10216	0.82522	4.15104	8.0	11.91087	5.0795	109.21463	1189.0	116.63619	20.0	1.39465	1.2164	0.95943	4751.30997	261.61771	0.83317	0.71988
9	1954.57677	203.91706	63.61587	42.86245	0.59068	0.14104	0.88283	5.07749	5.0	14.66604	5.12639	61.43515	936.0	209.98571	11.0	2.4534	1.38175	0.89292	2213.99496	178.24777	0.87412	0.77306
10	3901.3368	306.78193	99.97391	51.89244	0.52091	0.33122	0.86275	5.48096	9.0	16.73008	5.17502	104.57028	1070.0	212.25456	19.0	1.70427	1.50822	0.95387	4521.98625	256.14715	0.83495	0.74721
11	258.73422	74.50469	27.70278	13.35327	0.58573	0.38804	0.86338	4.306	3.0	9.52617	1.25034	27.06922	1025.0	173.36378	2.0	7.06775	4.79742	0.32175	299.67441	67.86572	0.91089	0.70593
12	1216.38304	146.344	50.35964	31.60889	0.71372	0.18902	0.94777	3.14854	4.0	14.66983	3.43843	48.92255	1186.0	117.98305	10.0	1.41852	0.9728	0.93172	1283.41161	135.76623	0.92772	0.82927
13	3549.38791	302.93666	103.27233	48.11982	0.48603	0.41375	0.83604	4.19946	6.0	15.02079	4.1157	110.17078	1186.0	124.976	17.0	1.70614	1.40142	0.94805	4245.46894	261.40176	0.86289	0.65275
14	1470.62263	168.65399	49.68988	39.32946	0.64971	0.05274	0.9005	5.01623	8.0	12.89191	4.41526	53.86108	1183.0	119.16375	12.0	1.56877	1.07583	0.9303	1633.11319	149.45334	0.88615	0.82737
15	2875.5846	245.14145	77.86228	49.56385	0.60132	0.17916	0.88022	4.20359	9.0	15.40781	5.00136	84.48519	1203.0	85.35221	17.0	1.34012	0.97218	0.96096	3266.91034	216.64584	0.88376	0.7699
16	1263.57663	170.32799	46.86239	37.57522	0.54732	0.04724	0.80233	5.07833	5.0	16.22268	1.93803	60.39013	945.0	211.67428	12.0	1.38985	1.10975	0.94842	1574.87845	148.9116	0.87426	0.71607
17	2335.05677	232.27184	64.44738	49.2183	0.54389	0.06929	0.85865	5.62231	6.0	23.42673	2.55278	79.34135	1063.0	206.89369	13.0	2.52568	1.73961	0.91765	2719.44515	195.16281	0.84023	0.77039
